Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Marco Estrada","TOR",176,-1.9838940096389721,,1.414584053512168,,,,,4.786433490953947,,,-5.7284375480473555,,,"Marco Estrada",1118,462136
"Joe Nathan","- - -",6.1,-3.7567796868793035,,,,,-8.13357162475586,1.7326666514078777,1.970526281156038,,,-7.406666437784831,,,"Joe Nathan",1122,150274
"Jerome Williams","STL",17.1,-6.508108190588049,,0.016046515730924384,,,-9.337115361140324,2.658750057220459,6.135000228881836,,,-8.309807410606972,,,"Jerome Williams",1137,425532
"Tommy Hunter","- - -",34,-3.5825833638509113,,0.9104950593249632,,,-7.358687400817871,,5.807127769957197,,,-3.3333333333333335,,,"Tommy Hunter",1157,488984
"Matt Bush","TEX",61.2,-3.366572158141706,,,,,-8.331999969482421,4.31016015625,7.398241065014368,,,-6.230000019073486,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",27,-3.1630768409142127,,1.7832142966134208,,,-6.06135063666802,8.19102684227196,,,,,,,"Adam Ottavino",1247,493603
"Colby Lewis","TEX",116.1,-4.532110554370062,,,,,-8.477906692859738,2.9095340851814515,6.328274197048611,,,-7.081874847412109,,,"Colby Lewis",1259,407890
"Blake Wood","CIN",76.2,-6.839465515442404,,,,,-7.712129946108218,2.3776221970122258,,,,-5.68896554530352,,,"Blake Wood",1345,502028
"Andrew Bailey","- - -",43.2,1.081301697029555,,3.732216170027449,-3.819999933242798,,,,5.8170400390625,,,,,,"Andrew Bailey",1368,457732
"Joaquín Benoit","- - -",48,-6.8699105398995535,,,,,-9.088218250493894,-0.08161492673506648,,,,-7.938340710055444,,,"Joaquin Benoit",1437,276542
"John Lackey","CHC",188.1,-3.918763194279258,,2.8920092811171756,,,-8.726480706694163,,4.348459428035248,,,-8.75519268329327,,,"John Lackey",1507,407793
"Oliver Pérez","WSN",40,8.490038871765137,,,,,11.71728515625,-6.992112565748762,,,,-3.740000009536743,,,"Oliver Perez",1514,424144
"Sean Doolittle","OAK",39,5.020362446326335,,,7.958846459021935,,,,-1.8491891397012246,,,,,,"Sean Doolittle",1581,448281
"Francisco Rodríguez","DET",58.1,-5.1223135421525186,,,,,-7.900969904119318,,6.783299714616201,,,-6.782913488353018,,,"Francisco Rodriguez",1642,408061
"Javier López","SFG",26.2,,,,,,10.711869236680329,0.8808601953650034,-4.358499908447266,,,10.451739103897758,,,"Javier Lopez",1663,425657
"Chris Capuano","MIL",24,,,,,,11.035523623511905,-0.6328813585184389,-2.052222145928277,,,9.165591660366264,,,"Chris Capuano",1701,425626
"Chin-hui Tsao","LAD",1.2,-3.8863636363636362,,,,,,-0.02538462785574106,5.28000020980835,,,,,,"Chin-hui Tsao",1776,425835
"Matt Belisle","WSN",46,-4.162172589983259,,,,,-6.486499786376953,1.359952818672612,6.3168182373046875,,,-4.494999885559082,,,"Matt Belisle",1837,279571
"Edwin Jackson","- - -",84,-0.6759445805393478,,,,,-7.511111259460449,2.046928576060704,4.2942858784138656,,,-7.444091103293679,,,"Edwin Jackson",1841,429719
"Ryan Madson","OAK",64.2,-7.091983621162281,,0.04048780406393656,,,-9.904225524042694,,,,,-5.594441731770833,,,"Ryan Madson",1852,425492
"Sean Burnett","WSN",5.2,,,,,,9.70526337205318,-2.1938095092773438,,,,9.842000579833984,,,"Sean Burnett",1886,430634
"Matt Moore","- - -",198.1,8.46387338253316,,2.067905297150483,,,11.917628925308408,,,-2.340082594185821,,10.366698342647279,,,"Matt Moore",1890,519043
"Matt Thornton","SDP",17,6.714285714285714,,8.615312576293945,,,10.435280789150282,1.9982351415297563,,,,,,,"Matt Thornton",1918,407819
"Zack Greinke","ARI",158.2,-1.392764701095282,,,,,-6.407222202845982,4.205454488787476,6.788378152147684,,,-6.835528221558989,,,"Zack Greinke",1943,425844
"Cory Luebke","PIT",8.2,4.448319635471376,,,,,8.346666463216145,-0.33177778455946183,-1.3349999019077845,,,8.666666666666666,,,"Cory Luebke",1984,458537
"Iván Nova","- - -",162,-5.90559365715779,,,,,-8.979199421356327,-2.005781203508377,3.0568544599745007,,,-7.85664810907273,,,"Ivan Nova",1994,467100
