Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Héctor Rondón","CHC",63.1,0.29223744,0.68694097,0.51354062,0.609375,0.83854167,0.78125,0.56068205,23.04454023,"Hector Rondon",2391,444468
"Miguel González","BAL",159,0.2775543,0.64647239,0.4664311,0.70724638,0.87544484,0.82659933,0.51197487,23.02969762,"Miguel Gonzalez",7024,456068
"Brandon Kintzler","MIL",58.1,0.3034188,0.62857143,0.45017585,0.75352113,0.91322314,0.85416667,0.45134818,23.01703578,"Brandon Kintzler",9939,445213
"Darin Downs","HOU",34.2,0.26760563,0.69709544,0.4647619,0.48684211,0.80357143,0.70491803,0.45904762,23.00589971,"Darin Downs",5903,445153
"Ryan Buchter","ATL",1,0.25,0.5,0.33333333,0.5,1,0.75,0.33333333,23,"Ryan Buchter",9456,488748
"Aaron Barrett","WSN",40.2,0.31129477,0.58415842,0.43543544,0.46017699,0.85875706,0.70344828,0.45495495,22.99157895,"Aaron Barrett",11243,502578
"Pedro Figueroa","TEX",9,0.14492754,0.70666667,0.4375,0.7,0.90566038,0.87301587,0.52083333,22.95698925,"Pedro Figueroa",6616,471896
"Scott Feldman","HOU",180.1,0.26801347,0.62508568,0.44497283,0.72110553,0.91666667,0.85725191,0.49558424,22.94181136,"Scott Feldman",6283,444857
"Brad Brach","BAL",62.1,0.33214286,0.67708333,0.49134615,0.62903226,0.80923077,0.74363992,0.46153846,22.93385214,"Brad Brach",6627,542960
"Sam Freeman","STL",38,0.2716763,0.61230769,0.4366617,0.55319149,0.8241206,0.73720137,0.48435171,22.92719486,"Sam Freeman",6832,518693
"Randall Delgado","ARI",77.2,0.27862595,0.68202765,0.46137787,0.51141553,0.8018018,0.70588235,0.45302714,22.92609916,"Randall Delgado",5985,517414
"Jake Peavy","- - -",202.2,0.28795483,0.67466175,0.48322981,0.64052288,0.87420237,0.80526992,0.50496894,22.92514063,"Jake Peavy",1051,408241
