Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Horacio Ramirez","LAA",9,5.989756142220846,,,,,6.051632628148916,4.071333312988282,-3.3674999872843423,,,5.911333211263021,,,"Horacio Ramirez",110,400141
"Dan Wheeler","BOS",49.1,8.49324597810444,,5.150784361596201,2.103999900817871,,8.08524795406121,2.725273370742798,-6.980833265516493,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","- - -",129.1,9.203857784101446,,9.91702682907517,3.7814998626708984,,6.117218900723473,,-9.52319246964969,,,3.2486035224445704,,,"Erik Bedard",126,407853
"Rodrigo Lopez","CHC",97.2,8.503974197257278,,,,,6.442089029160874,-1.6556103594891436,-5.194166501363118,,,3.5942234726426023,,,"Rodrigo Lopez",150,150438
"Rafael Betancourt","COL",62.1,10.593720325448896,,10.07943584735577,,,,0.21810126002830796,,,,6.577166748046875,,,"Rafael Betancourt",177,429783
"Derek Lowe","ATL",187,,,4.124612727635343,,,1.005903971760053,-1.7680145337564317,,,,-0.30218365727638713,,,"Derek Lowe",199,117955
"Darren Oliver","TEX",51,7.64131778492647,,,,,7.061946177642618,-0.5854000244140625,,,,3.8460002899169923,,,"Darren Oliver",206,119984
"Mark Buehrle","CHW",205.1,7.587387520124195,,3.2915632423547914,,,6.012043886964426,,-5.428503681429856,,,4.4324775214667795,,,"Mark Buehrle",225,279824
"Jon Garland","LAD",54,8.629649379797149,,,,,7.01744621030746,2.1430881724638096,-3.2119565217391304,,,4.776603842681309,,,"Jon Garland",232,279782
"Daniel McCutchen","PIT",84.2,8.04055240028783,,,,,5.997647154564951,1.5391242248190324,-3.4494998931884764,,,0.6821810875409915,,,"Daniel McCutchen",263,445216
"Juan Cruz","TBR",48.2,9.413994428619302,,4.2042855857906485,,,,0.004540220416825393,,,,5.870266520182292,,,"Juan Cruz",273,407297
"Kyle Farnsworth","TBR",57.2,8.489285838847257,,4.361111111111111,,,6.122956843075166,1.412612229950574,,,,4.93874979019165,,,"Kyle Farnsworth",278,150035
"Will Ohman","CHW",53.1,9.365662025300082,,,,,8.219954538563071,1.5977527746993505,-6.467499732971191,,,5.754166920979817,,,"Will Ohman",296,349193
"Kerry Wood","CHC",51,9.488594591482427,,,9.08750057220459,,,5.0320407699489,-10.911484520034035,,,,,,"Kerry Wood",304,134268
"Carlos Zambrano","CHC",145.2,7.951873949153525,,7.092063298301091,3.08166655411957,,6.292863442864217,2.068165615465514,-3.7603703251591436,,,,,,"Carlos Zambrano",305,407296
"Kanekoa Texeira","KCR",6.1,8.267618815104166,,,,,7.875490076401654,0.9564285278320312,,,,5.379643031529018,,,"Kanekoa Texeira",334,444427
"Blake Beavan","SEA",97,6.500826740113275,,10.520000457763672,,,4.401202159892779,-3.8365592272905467,-7.037790697674419,,,0.1263846177321214,,,"Blake Beavan",338,518444
"Danys Baez","PHI",36,6.127878824869792,,,,,7.047862744513359,,-5.429186813230437,,,,,,"Danys Baez",367,276056
"Bartolo Colon","NYY",164.1,10.015009699641046,,,,,5.368142078273104,1.3734062016010284,,,,6.200571695963542,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",237.1,9.145311022395116,,,,,7.2802734375,-0.7018552696546891,,,,6.270350757087629,,,"CC Sabathia",404,282332
"Jake Westbrook","STL",183.1,2.5777527884151157,,3.158542232190148,1.9700000069358132,,2.678695006627243,3.152383848678234,-2.5423984879497232,,,-0.296264715755687,,,"Jake Westbrook",412,150414
