Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Tony Watson","- - -",57.1,5.791668729298675,,,,,4.51895442761873,0.8837454581374757,,,,4.140419536166721,,,"Tony Watson",3132,453265
"Max Scherzer","- - -",179.1,9.319316413687643,,5.073635031960228,,,,2.8114796262798887,-4.642860965452332,,,2.426050736966736,,,"Max Scherzer",3137,453286
"David Price","LAD",73.2,7.5464121500651045,,4.902198599166229,,,5.971909396166872,,,-3.5623188848080845,,3.4795091532044493,,,"David Price",3184,456034
"Will Harris","WSN",6,9.98517100016276,,8.027230892541274,,,,,-7.243790259728065,,,,,,"Will Harris",3192,501789
"Ervin Santana","KCR",65.1,8.274648391628066,,,,,8.340934753417969,1.4348229947297468,,,,7.679353169032505,,,"Ervin Santana",3200,429722
"T.J. McFarland","STL",38.2,,,-1.0323301553726196,,,-0.24040735141504185,-1.3810325804210843,,,,1.3311577489820576,,,"T.J. McFarland",3237,519008
"Zack Britton","NYY",18.1,,,,,,2.9602992401690287,-1.7290151259478401,,,,,,,"Zack Britton",3240,502154
"Joe Smith","- - -",39.2,2.7746641976492747,,,,,-5.337467178760336,5.060028882803896,-8.072772979736328,,,-4.3148457663399835,,,"Joe Smith",3281,501925
"Charlie Culberson","TEX",2,8.639656066894531,,6.215020179748535,,,,,,,,,,,"Charlie Culberson",3298,518586
"Darren O'Day","NYY",10.2,4.60692436750545,,,,,-2.335430145263672,0.09398319410241168,,,,,,,"Darren O'Day",3321,503285
"Danny Duffy","KCR",61,11.15419758690728,,,,,9.595797753149224,-1.7496674890103547,-9.115729078240351,,,7.47664315008348,,,"Danny Duffy",3542,518633
"Liam Hendriks","CHW",71,10.807891805601182,,,,,,2.3605390832779256,-4.816024637667932,,,12.299393653869629,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",78,10.334108664772728,,9.780961737575302,,,,,-0.06936407413612418,,,8.483334526341624,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","SEA",26.1,8.812665137175088,,,,,5.365204572677612,2.2621824741363525,-3.9626917839050293,,,5.052845886230469,,,"Hector Santiago",4026,502327
"Pedro Strop","CHC",2,8.859995524088541,,2.5778900146484376,,,9.071501731872559,-1.368924801166241,,,,,,,"Pedro Strop",4070,467008
"Derek Holland","DET",49.2,8.81120351465737,,,,,8.466202211501958,,,2.510747977182375,,8.720880365371704,,,"Derek Holland",4141,502706
"Jake Arrieta","- - -",98.2,,,,,,5.460439267365829,4.114496732045369,-5.495669964077748,,,1.3981463606928435,,,"Jake Arrieta",4153,453562
"Rafael Dolis","TOR",32,12.558656692504883,,,5.0911610921223955,,8.83197991786859,2.256255883964703,,,,,,,"Rafael Dolis",4185,503569
"Mark Melancon","SDP",64.2,7.866309330381196,,6.468735943418561,5.543851375579834,,,-3.176687479019165,,-7.918341705153661,,,,,"Mark Melancon",4264,453343
"Justin Wilson","- - -",34,11.424995965767451,,7.060463129087936,,,,-2.183701515197754,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","- - -",32,8.684895779224153,,0.5360631318849938,,,6.627321579877068,,-5.989391223804371,,,4.084805079868862,,,"Tyler Chatwood",4338,543022
"Jordan Zimmermann","MIL",5.2,9.637173243931361,,,,,5.398060551396123,4.8468549455915175,-1.684774398803711,,,2.3809751783098494,,,"Jordan Zimmermann",4505,519455
"Charlie Morton","ATL",185.2,7.301784739774816,,2.306912267632164,,,3.6188961705695695,,-5.753874231557377,,,1.943659560485456,,,"Charlie Morton",4676,450203
"Nate Jones","- - -",19,10.05559097101659,,,,,9.799056871802406,1.8256309713636125,,,,7.926896413167317,,,"Nate Jones",4696,518858
"Matt Shoemaker","MIN",60.1,9.831812345064604,,,3.0059124359303273,,6.5262673984874375,1.2893216436393415,,-1.1588943371405969,,,,,"Matt Shoemaker",4776,533167
"Rich Hill","- - -",158.2,11.171031458848187,,5.792677423228389,,,4.257221534603932,-0.6751369406722184,-7.684016966083433,-7.527533531188965,,6.18102367504223,,,"Rich Hill",4806,448179
"Scott Kazmir","SFG",11.1,9.512695177466469,,,,,,4.787466851870219,,,,4.665133684873581,,,"Scott Kazmir",4897,431148
"Jon Lester","- - -",141.1,8.58614699904983,,6.189019765368432,,,3.926505544077811,,-3.218586480439599,,,4.06128904554579,,,"Jon Lester",4930,452657
"Asdrúbal Cabrera","ARI",1.1,7.5778961181640625,,,,,,,2.907926321029663,,,,,,"Asdrubal Cabrera",4962,452678
"Fernando Abad","BAL",17.2,9.456377531352796,,1.7969510555267334,,,7.830398669345773,,,-5.107686751928085,,8.277720349900266,,,"Fernando Abad",4994,472551
"Jake Diekman","OAK",60.2,7.951837917626728,,,,,4.900520875281894,1.4670523121870684,,,,3.552628993988037,,,"Jake Diekman",5003,518617
"Anthony Gose","CLE",6.2,10.99004400344122,,,,,,-3.1147758729996218,,,,,,,"Anthony Gose",5097,543238
