Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",149.1,104.92227314390468,126.79288753799392,56.09428571428571,74.10033898305085,121.46880247595888,,94.01252459016393,84.40479999999998,,104.66898694147822,105.19735490221973,107.9226580333713,"Tarik Skubal",22267,669373
"Pablo López","MIA",102.2,105.77139784946239,109.4494786729858,102.3125888324873,,141.98000000000002,80.0573417721519,120.03812154696132,,,101.64588093806378,104.30855081178596,107.86375225496089,"Pablo Lopez",17085,641154
"Julian Merryweather","TOR",13,115.01542372881357,,,,108.14485333333334,101.36036363636364,83.65103448275862,,,107.3547585855545,101.96019266841118,107.72765856934443,"Julian Merryweather",16703,657240
"Danny Duffy","KCR",61,120.27333333333334,107.12279069767439,,,89.88652173913044,101.17045871559633,99.16787096774193,,,102.65545593689055,105.08989062150326,107.70957683269924,"Danny Duffy",3542,518633
"Blake Snell","SDP",128.2,104.93082792207792,,,,122.05584369449376,103.93575949367087,91.67575757575757,,,102.61162173727004,102.06598202824131,107.65020967051768,"Blake Snell",13543,605483
"Joey Krehbiel","- - -",8.1,111.4007843137255,,112.70551724137931,,130.62,,83.4847619047619,,,105.67563909774437,100.30691729323308,107.57368421052634,"Joey Krehbiel",13707,607216
"John Curtiss","- - -",44.1,100.96862857142857,,,,114.37097708042529,,,,,105.1277253059066,103.22395880035452,107.51493291031457,"John Curtiss",16128,595928
"John Brebbia","SFG",18.1,96.13317073170732,,,,118.91801242236025,,102.32000000000001,,,100.54656534954404,113.40765957446807,107.48559270516716,"John Brebbia",12777,605154
"Matt Barnes","BOS",54.2,94.68502183406115,,,,,,87.36875,121.34525842696631,,102.93882480957565,106.26163220892272,107.46711643090319,"Matt Barnes",12863,598264
"Daniel Camarena","SDP",9.1,88.87352941176471,107.34275862068965,,,116.21807692307692,120.50105263157894,101.27272727272727,,,92.12344827586209,112.1532183908046,107.4393103448276,"Daniel Camarena",14467,547176
"Adam Conley","TBR",19.2,108.04412500000001,,,,101.80839999999998,152.51999999999998,109.0369411764706,,,118.65628378378376,93.98864864864868,107.42614864864863,"Adam Conley",14457,543045
"Erik Swanson","SEA",35.1,108.15532544378698,,,114.74184873949575,96.97682242990655,,,,,106.46212765957449,103.43095744680855,107.42429078014186,"Erik Swanson",16587,657024
"Jake Reed","- - -",10,65.13499999999999,113.30436363636363,,,106.04555667811678,,,,,91.53474285714285,117.17329285714285,107.40876071428572,"Jake Reed",16209,596082
"Daniel Zamora","SEA",4.1,96.85428571428572,,,,110.2616,,,,,98.4203125,109.0203125,107.32875,"Daniel Zamora",17811,623354
"James Paxton","SEA",1.1,98.42,,118.59999999999998,,,,,,,110.20583333333336,101.13916666666665,107.3075,"James Paxton",11828,572020
"Phil Bickford","- - -",51.1,107.88738955823293,22.24000000000001,,,107.37233576642335,,-2.486666666666674,,,104.38284100459433,103.4867235824742,107.28986700190492,"Phil Bickford",18519,641360
"Tejay Antone","CIN",33.2,77.53763313609468,,,,118.91500000000002,123.4333689839572,,,,116.49856332703213,96.22328922495277,107.2565595463138,"Tejay Antone",16233,622088
"Kevin Gausman","SFG",192,102.66496525584333,,,117.51877934272301,103.66344086021505,,88.65190476190476,,,103.3475910457735,103.59175409288345,107.23524891413302,"Kevin Gausman",14107,592332
"Nestor Cortes","NYY",93,105.33348694316437,91.86253968253969,116.9903351955307,,119.01844896933132,,71.97534246575343,,,106.08792259192934,103.51001032531889,107.16668423397329,"Nestor Cortes",17874,641482
