Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"James Parr","ATL",14,0.23478261,0.61643836,0.44827586,0.7037037,0.77777778,0.76068376,0.55938697,,"James Parr",7734,444970
"Hideki Okajima","BOS",61,0.30827068,0.5951417,0.44639376,0.76829268,0.80952381,0.79475983,0.48148148,,"Hideki Okajima",7763,506606
"Shawn Kelley","SEA",46,0.27147766,0.63926941,0.49245542,0.63291139,0.86428571,0.81337047,0.60082305,,"Shawn Kelley",7773,518875
"Daisuke Matsuzaka","BOS",59.1,0.24635036,0.64963504,0.4479927,0.71851852,0.86235955,0.82281059,0.5,,"Daisuke Matsuzaka",7775,493137
"Chris Jakubauskas","SEA",93,0.29875519,0.56658291,0.43910467,0.83796296,0.91574279,0.89055472,0.52402897,,"Chris Jakubauskas",7831,499856
"Jerry Blevins","OAK",22.1,0.28409091,0.61256545,0.45504087,0.74,0.82905983,0.80239521,0.52043597,,"Jerry Blevins",7841,460283
"Matt Daley","COL",51,0.29558011,0.68762279,0.52468427,0.6728972,0.81142857,0.77899344,0.58438576,,"Matt Daley",7952,457935
"Ramon E Ramirez","BOS",69.2,0.28760331,0.67901235,0.47696246,0.56896552,0.82857143,0.74776386,0.4837884,,"Ramon E Ramirez",7986,430673
"Edwin Moreno","SDP",22.1,0.2081448,0.60824742,0.39518072,0.58695652,0.81355932,0.75,0.46746988,,"Edwin Moreno",7993,430650
"Eric Stults","LAD",50,0.26077586,0.59390863,0.41375291,0.66942149,0.88461538,0.81126761,0.45920746,,"Eric Stults",8011,445590
"Wes Whisler","CHW",1.1,0.05555556,0.41666667,0.2,0,0.6,0.5,0.4,,"Wes Whisler",8023,452217
"Glen Perkins","MIN",96.1,0.23909532,0.65323565,0.47496523,0.76351351,0.92149533,0.88726208,0.56954103,,"Glen Perkins",8041,450282
