Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Jerry Blevins","OAK",22.1,-0.39976355619728565,,,,,0.8296976111969858,0.8972442150115967,0.9771594698999969,,,5.822474048251197,,,"Jerry Blevins",7841,460283
"Matt Daley","COL",51,-0.11544065278080294,,,,,2.418194532394409,,0.6295276646638036,,,-1.4030888017299956,,,"Matt Daley",7952,457935
"Ramon E Ramirez","BOS",69.2,-0.6492080160490782,,,,,-5.44476344667632,2.782740312464097,,,,0.20820783832358578,,,"Ramon E Ramirez",7986,430673
"Edwin Moreno","SDP",22.1,-1.8525157889274704,,-4.361468383244105,,,-2.9903879069318675,1.7126618999324432,,,,0.2795167565345764,,,"Edwin Moreno",7993,430650
"Eric Stults","LAD",50,-0.007491879457352208,,-2.7400524992691846,,,,,-0.3041553635929906,,,-0.17688338245664323,,,"Eric Stults",8011,445590
"Wes Whisler","CHW",1.1,-2.502560019493103,,,,,,-0.019270802537600197,,,,3.1523168087005615,,,"Wes Whisler",8023,452217
"Glen Perkins","MIN",96.1,-1.4690002259753998,,,,,-0.006298967665689854,1.9822645967251786,,,,-1.4311586107526506,,,"Glen Perkins",8041,450282
"Jason Vargas","SEA",91.2,0.004393888796462682,,-0.8206584015671087,,,0.2480374504101239,,,-7.751303112932614,,0.16192664226440534,,,"Jason Vargas",8044,450306
"Chris Lambert","- - -",12.1,-4.695671583924975,,,,,0.9911826252937317,,-2.7100331403992395,,,-1.0180886144991275,,,"Chris Lambert",8047,461836
"Kevin Hart","- - -",81,-0.2713998525345018,,,,,-1.379694407468015,-2.6274980876246112,-0.39870916835723386,,,,,,"Kevin Hart",8079,453954
"Dallas Braden","OAK",136.2,-0.11033792838905797,,-0.8314005608828563,,,-0.650967648310691,,1.9760105258128682,,,1.4979833943041938,,,"Dallas Braden",8099,460284
"Yovani Gallardo","MIL",185.2,0.1175747873272549,,,,,1.1600426637409815,0.8696321736682545,0.6954299470346471,,,-0.6221535543328551,,,"Yovani Gallardo",8173,451596
"Brett Anderson","OAK",175.1,-0.22136182772023613,,,,,-0.8082361544592905,2.043666965083072,,0.7318675518035889,,-0.7003794475035234,,,"Brett Anderson",8223,474463
"David Robertson","NYY",43.2,-0.7366572385248931,,0.8128379140364116,-3.8515109568834305,,,,,-0.7723866568671333,,-2.784365912278493,,,"David Robertson",8241,502085
"J.P. Howell","TBR",66.2,-4.589732587337494,,,,,0.4842362880706787,,,0.6015788717996283,,2.8429578562251856,,,"J.P. Howell",8245,434442
"Billy Buckner","ARI",77.1,-1.8473526643168543,,,,,0.5391195871944511,1.0467796646929408,0.6830128774144291,,,-1.9933506924444468,,,"Billy Buckner",8253,434438
