Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Mitchell Boggs","STL",2,3,0,16,9,58,7.137930917116183,5.120689570974653,0.46551723372496845,0.37362637362637363,0.77071291,0.527472527,0.056603773,93.69857687793427,4.189655103524716,,4.097083742865201,4.624234984188841,0.6098474338650703,"Mitchell Boggs",3344,459939
"Tim Hudson","ATL",2,1,0,7,7,42.1,6.377953522203523,2.763779859621527,0.8503938029604697,0.3383458646616541,0.79787234,0.622222222,0.148148148,90.7206967002467,3.6141736625819965,,3.8293673118571547,3.4382747930897994,0.604671061038971,"Tim Hudson",921,218596
"Alberto Arias","HOU",2,1,0,42,0,45.2,7.686133741043847,3.7445266943546947,0.19708035233445761,0.3333333333333333,0.73002755,0.612676056,0.03125,93.44873046875,3.3503659896857796,,3.31606192856837,3.951260878109015,0.6016817688941956,"Alberto Arias",3087,464244
"Kyle Farnsworth","KCR",1,5,0,41,0,37.1,10.125004483122767,3.375001494374256,0.7232146059373405,0.37037037037037035,0.66914498,0.457943925,0.083333333,97.27001169786097,4.5803591709364895,,3.0970837593078615,3.3182892868258054,0.5856170058250427,"Kyle Farnsworth",278,150035
"Jason Bulger","LAA",6,1,1,64,0,65.2,9.319801646486134,4.111677196979176,0.9593913459618079,0.25,0.75892857,0.433121019,0.104477611,94.06108378984064,3.563453570715286,,3.828048594326382,3.7816477733788516,0.5767317414283752,"Jason Bulger",3915,408072
"Jesse Carlson","TOR",1,6,0,73,0,67.2,6.78325301608273,2.793104183092889,0.9310347276976296,0.28708133971291866,0.66502463,0.370892018,0.076923076,86.46209716796875,4.655173638488148,,3.9985618289833442,4.419131964013551,0.576659619808197,"Jesse Carlson",4391,434482
"Russ Ortiz","HOU",3,6,0,23,13,85.2,6.828795041331992,5.042802492060549,0.8404670820100915,0.3320610687022901,0.67010309,0.479087452,0.102564102,90.4225395560695,5.568094418316855,,4.614593768492749,4.595835727047729,0.5705620795488358,"Russ Ortiz",1124,133460
"Eric Milton","LAD",2,1,0,5,5,23.2,7.605635845999878,2.2816907537999636,0.7605635845999877,0.358974358974359,0.73863636,0.298701298,0.055555555,88.85221354166667,3.802817922999939,,3.5196190840856323,4.417858876265302,0.5687914490699768,"Eric Milton",743,132980
"Jose Mijares","MIN",2,2,0,71,0,61.2,8.027032820132462,3.35675917932812,1.0216223589259497,0.25903614457831325,0.88957055,0.376470588,0.081395348,92.54691876750701,2.3351368204021705,,4.005192522797595,4.360245436343682,0.5632681846618652,"Jose Mijares",4140,467726
"Derek Holland","TEX",8,13,0,33,21,138.1,6.961445271213374,3.057831100439519,1.6915661406686702,0.31381733021077285,0.64719359,0.414798206,0.148571428,93.98536560702301,6.115662200879038,,5.099493250612228,4.316804313498531,0.561191376298666,"Derek Holland",4141,502706
"Jamie Moyer","PHI",12,10,0,30,25,162,5.222222591133301,2.388889057646084,1.5000001059638204,0.2857142857142857,0.72320499,0.410351201,0.125,81.62861165364583,4.944444793732593,,5.08473822070848,4.668380266755058,0.5598560869693756,"Jamie Moyer",1091,119469
"Hideki Okajima","BOS",6,0,0,68,0,61,7.819674576204199,3.098361624533739,1.180328237917615,0.27586206896551724,0.8259587,0.304597701,0.085106382,87.83566928917253,3.393443684013143,,4.195444758481198,4.513424633642767,0.5538069009780884,"Hideki Okajima",7763,506606
"Armando Galarraga","DET",6,10,0,29,25,143.2,5.951276819765898,4.197216283413844,1.5034804597303322,0.29777777777777775,0.69908815,0.398720682,0.132596685,88.44291178385417,5.638051723988745,,5.470633929530283,4.952799146041076,0.553671270608902,"Armando Galarraga",4222,451482
"Brendan Donnelly","FLA",3,0,2,30,0,25.1,8.881582067945102,3.197369544460237,0.3552632827178041,0.3088235294117647,0.78431373,0.393939393,0.037037037,91.40587269176136,1.7763164135890206,,2.8207678727495695,3.7067057640816494,0.5494645237922668,"Brendan Donnelly",1441,407791
"Jeremy Affeldt","SFG",2,2,0,74,0,62.1,7.941179548506536,4.475937563703684,0.43315524810035655,0.25,0.86350975,0.649681528,0.103448275,94.5524310947205,1.7326209924014262,,3.5944101552749377,3.579477772073988,0.5441571474075317,"Jeremy Affeldt",583,346793
"Rich Hill","BAL",3,3,0,14,13,57.2,7.179191902853103,6.2427755676983505,1.0924857243472113,0.3370165745856354,0.56451613,0.311475409,0.08045977,88.67633499727059,7.803469459622938,,5.2126910350278575,5.615135817902706,0.5400155866518617,"Rich Hill",4806,448179
