Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Jason Hammel","BAL",118,93.57201380699685,,,,,93.54931926169591,85.11698481721699,77.88989997632575,,,88.42374381744604,,,"Jason Hammel",4538,434628
"Josh Johnson","MIA",191.1,92.7196150888585,,,,,92.87010657269022,86.88106393472023,78.54155953322785,,,87.12316273834746,,,"Josh Johnson",4567,435178
"Pedro Hernandez","CHW",4,89.96666802300348,,88.2000020345052,,,89.68332926432292,85.29545454545455,77.1500015258789,,,83.02222357855902,,,"Pedro Hernandez",4578,517060
"Clay Hensley","SFG",50.2,,,,,,85.30445339255137,79.99454900568182,69.53536127417127,,,80.24929852552818,,,"Clay Hensley",4593,454535
"Matt Lindstrom","- - -",47,95.04073919064153,,,,,94.46470492493873,84.82656478881836,,,,87.1187515258789,,,"Matt Lindstrom",4604,434637
"Bobby Korecky","TOR",1,87,,,,,86.89230581430289,,76,,,81.06667073567708,,,"Bobby Korecky",4608,445090
"Joe Thatcher","SDP",31.2,86.07962257037534,,85.82856968470982,,,,77.79640428282374,,,,82,,,"Joe Thatcher",4620,491159
"Brandon McCarthy","OAK",111,,,90.22871985456554,86.02777777777777,,90.84192457932693,,79.48869595462328,,,,,,"Brandon McCarthy",4662,435221
"Sam LeCure","CIN",57.1,89.63297086148648,,,,,89.50817945075758,79.74418604651163,,73.68767390839041,,84.47428385416667,,,"Sam LeCure",4664,459967
"Charlie Morton","PIT",50.1,90.48420795641448,,85.92727434142562,82.59999712775735,,89.73663898273273,,77.4119170984456,,,,,,"Charlie Morton",4676,450203
"Pat Neshek","OAK",19.2,93.44999694824219,,,,,89.33636659564394,83.1492725317029,,,,72.09000244140626,,,"Pat Neshek",4682,450212
"Jeff Francis","COL",113,84.56622395833334,,,,,85.26952646878824,,68.86657242748619,,,77.61643699363425,,,"Jeff Francis",4684,433585
"Nate Jones","CHW",71.2,96.345458984375,,,,,97.55656697009103,87.80830465929603,79.95,,,87.66292134831461,,,"Nate Jones",4696,518858
"Brian Bogusevic","HOU",1,88.00400390625,,85.19999694824219,,,,,,,,80.9000015258789,,,"Brian Bogusevic",4719,460131
"Mickey Storey","HOU",30.1,89.69946808510639,,,,,,79.93193717277487,71.07193153782895,,,78.8066650390625,,,"Mickey Storey",4721,493547
"Jose Arredondo","CIN",61,90.90813431571816,,,84.38020611134812,,,83.815203125,,,,,,,"Jose Arredondo",4722,461766
"Matt Cain","SFG",219.1,91.12859183837733,,,,,90.76060901988636,86.19750114889706,77.74065934065933,,,85.67946039244185,,,"Matt Cain",4732,430912
"Sergio Santos","TOR",5,94.79347826086956,,93.9000015258789,,,94.67999674479167,85.91071428571429,,,,86.71538837139423,,,"Sergio Santos",4734,435045
"Donnie Veal","CHW",13,91.8230731670673,,,,,92.53889069733796,,78.232998046875,,,83.05000305175781,,,"Donnie Veal",4741,453264
"Jonathan Broxton","- - -",58,94.87207251196509,,92.30677717823093,,,94.2470955141129,87.4043470541008,75.8680029296875,,,,,,"Jonathan Broxton",4759,455009
"Félix Hernández","SEA",232,92.38216610199714,,92.28484458111703,,,92.03683200813609,85.28847353104213,81.32995242883663,,,88.72621193910257,,,"Felix Hernandez",4772,433587
"Vinnie Pestano","CLE",70,91.62057325355757,,,,,92.32499614514802,79.95708806818182,,,,,,,"Vinnie Pestano",4782,502260
"Matt Capps","MIN",29.1,92.5917834974315,,,,,92.54256624788852,85.97692307692307,,,,87.61686982304217,,,"Matt Capps",4788,448165
"Rich Hill","BOS",19.2,94,,,,,91.92533979023973,84.13636363636364,75.28930272393048,,,,,,"Rich Hill",4806,448179
"Jesse Crain","CHW",48,93.63629619891827,,,,,93.5,84.94174757281553,71.84905660377359,,,82.58125305175781,,,"Jesse Crain",4817,430884
"Clay Rapada","NYY",38.1,85.29032258064517,,,,,85.37817826704546,76.12678571428572,,,,79.56667073567708,,,"Clay Rapada",4831,449060
"Kyle McClellan","STL",18.2,88.8000018780048,,,,,90.04817233120438,83.70678297139831,72.70833333333333,,,83.64285714285714,,,"Kyle McClellan",4845,449072
"Joe Blanton","- - -",191,90.44964367646786,,86.32729319852942,,,90.30912814064631,83.35877786883871,77.5297112510608,,,83.34432290566934,,,"Joe Blanton",4849,430599
"Peter Moylan","ATL",5,,,,,,88.78181818181818,76.98750305175781,,,,80.30000305175781,,,"Peter Moylan",4891,493247
"Jarrod Parker","OAK",181.1,92.4155431733167,,,,,92.14956701807229,82.89180570268361,75.07958984375,,,80.91244268341308,,,"Jarrod Parker",4913,519105
"Jon Lester","BOS",205.1,92.23874658469946,,89.92438199626865,,,92.00496688741723,,76.04846466002044,,,85.83702201156812,,,"Jon Lester",4930,452657
"Justin De Fratus","PHI",10.2,93.25833129882812,,,,,93.3590975674716,83.93529794730392,,,,85.375,,,"Justin De Fratus",4955,518603
"Fernando Salas","STL",58.2,91.71908393389663,,,,,91.67021276595744,,,81.3107476635514,,85.46162639292636,,,"Fernando Salas",4971,477569
"Cole Hamels","PHI",215.1,90.80320044918585,,88.0380437229827,,,,,75.732315582483,,,83.244875575374,,,"Cole Hamels",4972,430935
"Fernando Abad","HOU",46,90.14499860491071,,,,,89.76772028283227,,76.0999984741211,77.8970099667774,,75.4013909233941,,,"Fernando Abad",4994,472551
"Jake Diekman","PHI",27.1,,,,,,94.89494820926966,81.37571149553571,,,,87.22592954282408,,,"Jake Diekman",5003,518617
