Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Tristan Beck","SFG",0.26881720430107525,0.984848484,0.184647302,0.404564315,0.410788381,0.111111111,0.095959595,77,4.395349173965753,801,1556,2357,0.39049587,0.3677686,0.24173554,0.15289256,0.54545455,0.30165289,"Tristan Beck",21584,663941
"Jake Woods","- - -",0.289272030651341,0.95045045,0.201107011,0.389298892,0.409594095,0.103603603,0.112612612,112,6.209446144563261,1176,1704,2880,0.42778793,0.32175503,0.25045704,0.1535649,0.54478976,0.30164534,"Jake Woods",2196,430646
"Nick Hernandez","- - -",0.3090909090909091,0.588235294,0.142857142,0.317460317,0.539682539,0.058823529,0.235294117,4,1.6615385834282055,176,267,443,0.38095238,0.42857143,0.19047619,0.12698413,0.57142857,0.3015873,"Nick Hernandez",19281,663321
"Lee Gardner","- - -",0.3005952380952381,1.211382113,0.197640117,0.439528023,0.362831858,0.138211382,0.073170731,31,2.7442630072854137,605,1050,1655,0.47246377,0.30144928,0.22608696,0.20869565,0.48985507,0.30144928,"Lee Gardner",1448,421104
"Brennan Bernardino","- - -",0.3014018691588785,1.559701492,0.204176334,0.484918793,0.310904872,0.089552238,0.082089552,111,6.417560642644989,948,1654,2602,0.34474886,0.39497717,0.26027397,0.17123288,0.52739726,0.30136986,"Brennan Bernardino",16835,657514
"Paxton Schultz","TOR",0.3333333333333333,1,0.205479452,0.397260273,0.397260273,0.137931034,0.137931034,4,1.4594596099296373,168,280,448,0.38356164,0.26027397,0.35616438,0.12328767,0.57534247,0.30136986,"Paxton Schultz",25501,687606
"Luis Guerrero","BOS",0.2054794520547945,1.142857142,0.166666666,0.444444444,0.388888888,0.071428571,0,18,5.926830371173835,166,256,422,0.46575342,0.28767123,0.24657534,0.1369863,0.56164384,0.30136986,"Luis Guerrero",31184,692285
"Vin Mazzaro","- - -",0.314785373608903,1.237250554,0.20862745,0.437647058,0.35372549,0.077605321,0.09534368,198,4.652742210931319,2518,4046,6564,0.37432744,0.35280553,0.27286703,0.16756341,0.5311299,0.30130669,"Vin Mazzaro",5231,476570
"Juan Pablo Perez","- - -",0.27702702702702703,1.666666666,0.174193548,0.516129032,0.309677419,0.083333333,0.166666666,32,4.85393286383435,437,634,1071,0.48076923,0.30128205,0.21794872,0.18589744,0.51282051,0.30128205,"Juan Pablo Perez",2557,448722
"Ryan Tepera","- - -",0.2553648068669528,1.137837837,0.18031088,0.43626943,0.383419689,0.129729729,0.124324324,179,4.40967277988348,2240,3609,5849,0.44057377,0.34016393,0.2192623,0.1977459,0.50102459,0.30122951,"Ryan Tepera",10291,572193
"Aaron Blair","ATL",0.3076923076923077,1.05376344,0.217213114,0.401639344,0.38114754,0.139784946,0.161290322,31,3.821918207656464,516,773,1289,0.45381526,0.34939759,0.19678715,0.20481928,0.4939759,0.30120482,"Aaron Blair",14934,594760
"Dale Thayer","- - -",0.28708791208791207,1.01384083,0.211382113,0.39701897,0.391598915,0.10034602,0.103806228,126,4.50596165936275,1467,2731,4198,0.33025099,0.37516513,0.29458388,0.15852048,0.54029062,0.3011889,"Dale Thayer",5032,445612
"John Parrish","- - -",0.3083969465648855,1.495327102,0.193353474,0.483383685,0.323262839,0.088785046,0.074766355,114,4.677812355253424,1669,2288,3957,0.4709389,0.30253353,0.22652757,0.14456036,0.55439642,0.30104322,"John Parrish",160,332292
"Jimmy Serrano","KCR",0.30612244897959184,0.744680851,0.203883495,0.339805825,0.456310679,0.127659574,0.106382978,20,5.510203706279814,223,322,545,0.45631068,0.32038835,0.22330097,0.05825243,0.6407767,0.30097087,"Jimmy Serrano",2491,408250
