Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jim Whitney","- - -",3496.1,,,,,,,,,,,,,"Jim Whitney",1013908,124221
"Bill Whitrock","- - -",235,,,,,,,,,,,,,"Bill Whitrock",1013910,124222
"Ed Whitson","- - -",2240,,,,,,,,,,,,,"Ed Whitson",1013911,124223
"Walt Whittaker","PHA",2,,,,,,,,,,,,,"Walt Whittaker",1013914,124225
"Kevin Wickander","- - -",138.2,,,,,,,,,,,,,"Kevin Wickander",1013915,124227
"Bob Wicker","- - -",1036.2,,,,,,,,,,,,,"Bob Wicker",1013916,124230
"Dave Wickersham","- - -",1123,,,,,,,,,,,,,"Dave Wickersham",1013917,124231
"Kemp Wicker","- - -",141,,,,,,,,,,,,,"Kemp Wicker",1013919,124229
"Al Widmar","- - -",388.1,,,,,,,,,,,,,"Al Widmar",1013921,124235
"Wild Bill Widner","- - -",522,,,,,,,,,,,,,"Wild Bill Widner",1013922,124236
"Franklin Wieand","CIN",6.1,,,,,,,,,,,,,"Franklin Wieand",1013923,124237
"Charlie Wiedemeyer","CHC",8.1,,,,,,,,,,,,,"Charlie Wiedemeyer",1013924,124238
"George Wiedman","- - -",2318.1,,,,,,,,,,,,,"George Wiedman",1013926,124240
"Jack Wieneke","CHW",25.1,,,,,,,,,,,,,"Jack Wieneke",1013928,124242
"Bob Wiesler","- - -",241.1,,,,,,,,,,,,,"Bob Wiesler",1013929,124243
"Whitey Wietelmann","BSN",7.2,,,,,,,,,,,,,"Whitey Wietelmann",1013930,124244
"Jimmy Wiggs","- - -",56.2,,,,,,,,,,,,,"Jimmy Wiggs",1013932,124246
"Bill Wight","- - -",1563,,,,,,,,,,,,,"Bill Wight",1013933,124247
"Fred Wigington","STL",8.1,,,,,,,,,,,,,"Fred Wigington",1013934,124248
"Sandy Wihtol","CLE",57.2,,,,,,,,,,,,,"Sandy Wihtol",1013935,124249
"Milt Wilcox","- - -",2016.2,,,,,,,,,,,,,"Milt Wilcox",1013939,124253
"Randy Wiles","CHW",2.2,,,,,,,,,,,,,"Randy Wiles",1013940,124254
"Mark Wiley","- - -",49,,,,,,,,,,,,,"Mark Wiley",1013942,124256
"Harry Wilhelm","LOU",25,,,,,,,,,,,,,"Harry Wilhelm",1013944,124259
"Hoyt Wilhelm","- - -",2254.1,,,,,,,,,,,,,"Hoyt Wilhelm",1013945,124261
"Kaiser Wilhelm","- - -",1432.1,,,,,,,,,,,,,"Kaiser Wilhelm",1013947,124260
"Bill Wilkinson","SEA",113.1,,,,,,,,,,,,,"Bill Wilkinson",1013953,124275
"Dean Wilkins","- - -",31,,,,,,,,,,,,,"Dean Wilkins",1013955,124268
"Eric Wilkins","CLE",69.2,,,,,,,,,,,,,"Eric Wilkins",1013957,124269
"Aldon Wilkie","PIT",194,,,,,,,,,,,,,"Aldon Wilkie",1013958,124267
"Marc Wilkins","PIT",294.2,,,,,,,,,,,,,"Marc Wilkins",1013959,124270
"Roy Wilkinson","- - -",380.2,,,,,,,,,,,,,"Roy Wilkinson",1013961,124274
"Ted Wilks","- - -",913,,,,,,,,,,,,,"Ted Wilks",1013962,124276
"Carl Willey","- - -",875.2,,,,,,,,,,,,,"Carl Willey",1013965,124280
"Ed Willett","- - -",1773.1,,,,,,,,,,,,,"Ed Willett",1013966,124279
"Nick Willhite","- - -",182,,,,,,,,,,,,,"Nick Willhite",1013967,124281
