Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Drew VerHagen","- - -",18,12,0,206,8,281.2,7.476924251987189,3.674556790506524,1.3739647129720047,0.3006134969325153,0.71586512,0.498237367,0.148788927,94.01146150246645,4.984616167991459,4.48490780685465,4.934271875729903,4.699935875015431,-0.46994091430678964,"Drew VerHagen",13424,572403
"Miguel Almonte","- - -",0,2,0,19,0,17.2,8.6603758001551,6.113206447168306,2.5471693529867943,0.3137254901960784,0.64285714,0.464285714,0.238095238,95.73289779469937,8.6603758001551,5.796013811261979,7.279024513634958,5.485029369727959,-0.4709085952490568,"Miguel Almonte",14139,602083
"Gerson Bautista","- - -",0,2,0,13,2,13.1,6.750004144015472,9.45000580162166,2.700001657606189,0.3695652173913043,0.6122449,0.34,0.2,97.47087166878173,11.475007044826302,9.416660149955122,8.746600071447386,7.627853737247048,-0.4709319584071636,"Gerson Bautista",19256,639373
"Jim Sadowski","PIT",0,1,0,4,0,9,1,9,1,0.1875,0.68493151,,,,6,,6.80044182671441,,-0.4715670049190521,"Jim Sadowski",1011365,121612
"Don Buschhorn","KCA",0,1,0,12,3,31,2.6129032258064515,2.3225806451612905,2.032258064516129,0.26851851851851855,0.79545455,,,,4.354838709677419,,5.743048358732654,,-0.4716138243675232,"Don Buschhorn",1001746,111790
"Brandyn Sittinger","ARI",0,1,0,5,0,4.2,1.9285720854391661,3.8571441708783323,5.785716256317499,0.14285714285714285,1,0.294117647,0.272727272,93.52866036551339,7.714288341756665,22.364103592851226,13.027180336933892,8.828889633963964,-0.47162026166915894,"Brandyn Sittinger",19192,670087
"Chris Booker","- - -",0,1,0,17,0,11.1,7.941178865086971,7.147060978578273,5.558825205560879,0.3125,0.43209877,0.179487179,0.304347826,,14.294121957156547,,11.77964075082539,6.552984546871963,-0.4720348194241524,"Chris Booker",2039,407094
"Bill Lathrop","CHW",1,3,0,25,1,64.2,2.226803029049043,4.314430868782521,0,0.25519330732045814,0.65934066,,,,3.0618541649424342,,3.5499630067667196,,-0.47222186625003815,"Bill Lathrop",1007375,117531
"Justin Shafer","- - -",2,1,1,45,0,53.2,7.714292248695039,6.0372721946309005,1.5093180486577251,0.2929936305732484,0.77395577,0.303030303,0.123287671,94.1080715373411,4.695656151379589,5.599954265035247,5.8492695952999245,6.296161584970433,-0.4722747430205345,"Justin Shafer",16132,596101
"Oscar Roettger","NYY",0,0,1,6,0,11.2,5.399984403382798,10.799968806765596,2.3142790300211993,0.35,0.59701493,,,,8.485689776744398,,8.789467492203448,,-0.4743940234184265,"Oscar Roettger",1011124,121375
"Ricky Trlicek","- - -",5,8,1,87,1,125.2,4.726791120524881,4.655173073244201,0.8594165673681603,0.2912621359223301,0.65689468,,,,5.228117451489641,,4.888045745440874,,-0.47525446861982346,"Ricky Trlicek",1013188,123470
"Didier Fuentes","ATL",0,3,0,4,4,13,8.307692917141027,4.153846458570514,4.153846458570514,0.3953488372093023,0.48672566,0.265306122,0.272727272,95.77599158653847,13.846154861901713,7.474433863143144,9.135136758364197,5.74423381156903,-0.4754418134689331,"Didier Fuentes",30661,800311
"Denis Boucher","- - -",6,11,0,35,26,146,4.746575381221636,3.328767150467121,1.726027411353322,0.2915811088295688,0.71352503,,,,5.424657578539012,,5.505911573943567,,-0.47547341883182526,"Denis Boucher",1001231,111270
"Clemon Rooney","SNS",0,0,0,1,0,1,0,18,,,,,,,45,,,,-0.4756101071834564,"Clemon Rooney",1016293,
"Jim Todd","- - -",25,23,24,270,8,511,3.416830370522994,4.209394116262864,0.5988259412256794,0.28708946772366933,0.68546232,,,,4.227006643945972,,4.227287860593854,,-0.47568926960229874,"Jim Todd",1013097,123374
