Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Bill Kerksieck","PHI",62.2,54.105145179679056,146.437291999468,36.94765357324768,349.97441782302286,50.681439709986634,137.17093478159606,118.55612553648542,128.86322262644845,104.21185392905134,93.49323795757435,183.3802693900612,169.14682573251923,,,,,"Bill Kerksieck",1006863,117010
"Jim Kern","- - -",793.1,155.03137704964968,155.30790623133578,100.05629566434247,50.91256673869557,153.2875433864575,153.47135754256044,88.51144358823173,103.49979460960448,100.40378261434655,104.16440232504468,86.26523316743439,87.90299975403836,,,,,"Jim Kern",1006868,117012
"Dickey Kerr","CHW",811.1,86.07724713085672,87.96770162684197,97.0138069912746,77.91206807628126,86.72789190288458,89.01187222311242,99.91963482175814,96.94816802865854,99.09460658546165,101.80380522463646,99.4000817537758,96.92697044000629,,,,,"Dickey Kerr",1006871,117021
"Joe Kerrigan","- - -",220,88.72457173235338,114.91960359330284,76.49173639517844,95.46812134565059,87.2703770628487,112.99070737953107,101.86735285932616,105.50988782196573,100.28260354537244,99.48183463778412,105.23466145601779,109.0936705343957,,,,,"Joe Kerrigan",1006873,117022
"Rick Kester","ATL",40.2,116.55089135268047,142.90834272866343,73.49849867576746,105.40579811976923,106.7768824182615,131.67728670043775,117.54401729314414,129.7160865958614,121.54868661665557,85.43335994764112,152.84070994369782,102.16826329460504,,,,,"Rick Kester",1006880,117027
"Gus Ketchum","PHA",16,77.24860518113,146.32275313986193,52.79329480608398,263.38095769360143,72.67552478871605,137.6605211370552,107.1275661724657,118.21369894312474,100.12749873514343,95.08055425487682,137.35606206494285,140.61453203790043,,,,,"Gus Ketchum",1006882,117028
"Henry Keupper","SLT",213,71.1953701949603,70.36020320827296,101.18698759504102,52.72649304743341,,,116.4277271279105,110.08922746648682,112.68292982318464,86.50614951730812,129.19972257883754,90.31638007476084,,,,,"Henry Keupper",1006884,117031
"Jimmy Key","- - -",2591.2,92.1547276642728,66.97029628146728,137.48931714163191,92.867456044807,96.22566571300108,69.99639124782875,96.69446591078089,87.77570279175086,95.65634668089986,104.50380382609947,82.14212778430787,89.16649429928218,,,,,"Jimmy Key",1006885,117032
"Brian Keyser","CHW",152,64.87994153808665,85.63189087064553,75.65842565524609,69.24174030635484,63.886292245345274,84.49041588754824,114.97239985535961,109.58088014786928,111.02509330617212,100.05681519272783,106.89138592151929,95.84406468126403,,,,,"Brian Keyser",1006886,117033
"Dana Kiecker","BOS",192.1,94.10082211364622,105.78680988496572,88.92199770228287,73.45538559645591,92.73624572892606,104.2698651293247,105.60522281521783,105.82829413318171,106.67412302481694,93.4571680806611,112.1244770451021,97.1834710034865,,,,,"Dana Kiecker",1006890,117037
"Joe Kiefer","- - -",49.2,58.27251003667876,159.11271506105712,37.06482403119156,103.95079236979458,53.85122725091765,146.43644003770999,100.61344006984805,117.31217932668,97.08259137310117,88.72516238275608,151.35292884061843,126.79747756747535,,,,,"Joe Kiefer",1006891,117038
"Mark Kiefer","MIL",79.2,113.9807770443595,135.18216886542237,84.32247237025491,112.11495871377832,115.08584149185805,136.54649922009548,87.2441503657711,98.11435204192608,87.32054973154145,106.78921046866215,87.40154212210285,108.89243799050855,,,,,"Mark Kiefer",1006892,117039
"John Kiely","DET",73.1,53.70643059958392,177.88987227290497,30.11623109375487,57.80975460550239,50.84031996422309,168.56827791019455,97.64684140910879,118.93645142057507,92.23227770321935,103.52113963059601,100.27726103828682,120.36634092515533,,,,,"John Kiely",1006894,117041
"Leo Kiely","- - -",523,84.51754507637274,86.39162601012515,97.66257927846699,89.99532463955157,84.06975532947962,85.94507703109578,107.65305632819991,103.05224498225132,106.39926284933006,103.41613493917421,80.88303627388596,90.06825713769274,,,,,"Leo Kiely",1006895,117042
"John Kiley","BSN",8,33.50036687458001,160.87597193649503,20.823723621595725,1240.7626700353726,,,138.7681784639831,161.04349096300322,110.92667727230794,114.248694645612,193.74481606704072,258.7214533850688,,,,,"John Kiley",1006898,117047
